,Alpha,CMA,HML,Mkt-RF,RMW,SMB,STR,WML,Weight,fund,model,Name
25,0.0010673583700626123,-0.34754288299251435,-0.5131749504422162,0.8689530257227418,-0.25974521620910396,0.1604560512743861,,,0.012100999999999999,BRAGX,ff5,VERISIGN INC ORD
25,0.000986474993355441,,-0.3850097989456349,0.9260589801234256,,0.2932443860574028,,0.40453140964316814,0.012100999999999999,BRAGX,carhart,VERISIGN INC ORD
25,0.0011996515939941862,,,1.0520092083721775,,,,,0.012100999999999999,BRAGX,capm,VERISIGN INC ORD
26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012071,BRAGX,full,TECK RESOURCES LTD ORD
26,0.0,,0.0,1.0,,0.0,,,0.012071,BRAGX,ff3,TECK RESOURCES LTD ORD
26,0.0,0.0,0.0,1.0,0.0,0.0,,,0.012071,BRAGX,ff5,TECK RESOURCES LTD ORD
26,0.0,,0.0,1.0,,0.0,,0.0,0.012071,BRAGX,carhart,TECK RESOURCES LTD ORD
26,0.0,,,1.0,,,,,0.012071,BRAGX,capm,TECK RESOURCES LTD ORD
27,0.0008948753068210196,0.10987205496281566,0.12842228246140436,0.46824947701325564,-0.11104721206963411,0.039076285233755094,-0.4630496525072051,0.18555441736763048,0.011866000000000002,BRAGX,full,MARKETAXESS HOLDINGS INC ORD
27,0.0008291341054173551,,0.04211882194660911,0.3855030822838572,,-0.05230777734513578,,,0.011866000000000002,BRAGX,ff3,MARKETAXESS HOLDINGS INC ORD
27,0.0008295842567246667,0.18298095413566823,-0.024663404534272536,0.39926181929978477,-0.1072614053597096,-0.06510390445126653,,,0.011866000000000002,BRAGX,ff5,MARKETAXESS HOLDINGS INC ORD
27,0.0008027366686631465,,0.189044722028676,0.3843115473897015,,0.01736519087050299,,0.24504431197618337,0.011866000000000002,BRAGX,carhart,MARKETAXESS HOLDINGS INC ORD
27,0.0008259334063308596,,,0.37550006325145957,,,,,0.011866000000000002,BRAGX,capm,MARKETAXESS HOLDINGS INC ORD
28,-0.00038774785255781625,0.8475654045053415,-0.46356351251028344,1.1053817815731266,-0.5707810228344572,0.20253740392860534,0.49820957537539623,-0.7012234925406172,0.011847000000000002,BRAGX,full,ALTICE USA INC ORD
28,-0.00038364387127399227,,0.28584953513171685,1.128175536824155,,0.5222802737366905,,,0.011847000000000002,BRAGX,ff3,ALTICE USA INC ORD
28,-0.0003846871481513469,0.8883853935784154,-0.03732906270217917,1.1977623208550447,-0.4815466255940841,0.46371403368684005,,,0.011847000000000002,BRAGX,ff5,ALTICE USA INC ORD
28,-0.0003005589840230856,,-0.17659391936678243,1.1319258457370236,,0.3029873642577805,,-0.7712672719525879,0.011847000000000002,BRAGX,carhart,ALTICE USA INC ORD
28,-0.0005832713851484093,,,1.096858365725935,,,,,0.011847000000000002,BRAGX,capm,ALTICE USA INC ORD
29,-0.0012869167972449735,0.06215750576207331,-0.8133099930904674,0.9855652370148827,-1.1166738902723714,-0.08520338627358467,0.4425034737942864,-0.07999299491450798,0.011704,BRAGX,full,INCYTE CORP ORD
29,-0.0013066310299076093,,-0.6979603447136142,1.132488745356452,,0.08824987843266525,,,0.011704,BRAGX,ff3,INCYTE CORP ORD
29,-0.0012114854385913848,-0.03089174854815034,-0.7177640306844791,1.0479690442046354,-1.1383974286384881,-0.014574921496866733,,,0.011704,BRAGX,ff5,INCYTE CORP ORD
29,-0.0013002427375663989,,-0.7335170395144861,1.1327771018855084,,0.07138872280707079,,-0.05930176918269704,0.011704,BRAGX,carhart,INCYTE CORP ORD
29,-0.0010957071096919142,,,1.2657957956181463,,,,,0.011704,BRAGX,capm,INCYTE CORP ORD
30,0.0003543448970001144,0.5882116701442954,0.09830055259402984,1.2661686530659981,0.4321287749206255,-0.05811396520378888,-0.09945328295998676,0.035368488314050456,0.011297999999999999,BRAGX,full,CSX CORP ORD
30,0.0004031469099789202,,0.2673720189205152,1.1499889161610723,,-0.1084195415607614,,,0.011297999999999999,BRAGX,ff3,CSX CORP ORD
30,0.00033972102354676444,0.6049822025122717,0.06775930358258807,1.2515138836295985,0.4337761605438596,-0.07915667513865998,,,0.011297999999999999,BRAGX,ff5,CSX CORP ORD
30,0.0004049356051945961,,0.25741629265187316,1.1500696547867277,,-0.1131405948229243,,-0.01660424807579881,0.011297999999999999,BRAGX,carhart,CSX CORP ORD
30,0.0003374779038006812,,,1.0958117932207831,,,,,0.011297999999999999,BRAGX,capm,CSX CORP ORD
31,9.630095796307164e-05,0.4360154665112601,0.15099210304928617,1.5250909937714523,0.015136151845254076,-0.015005695554676318,0.25121809501275294,-0.03350305844891811,0.011265,BRAGX,full,CATERPILLAR INC ORD
31,0.00015819038457320195,,0.3318345360361234,1.5156000805245446,,0.02785687354118699,,,0.011265,BRAGX,ff3,CATERPILLAR INC ORD
31,0.00014072030609189252,0.3803523501297633,0.19902526453443728,1.560087786048883,0.0005875690826475516,0.021551289077579833,,,0.011265,BRAGX,ff5,CATERPILLAR INC ORD
31,0.00016798192784302313,,0.27733563443889064,1.5160420539472703,,0.0020132323815937325,,-0.09089374873927852,0.011265,BRAGX,carhart,CATERPILLAR INC ORD
31,4.375214497705472e-05,,,1.4551315880843891,,,,,0.011265,BRAGX,capm,CATERPILLAR INC ORD
32,0.0012958759928677493,1.2211983315180177,-1.6841549811774956,1.2516071462015819,1.1150585947321892,1.566516091453384,0.02193691358330549,-0.47061611607284703,0.011211,BRAGX,full,RH ORD
32,0.0013967904200772876,,-1.0047043402697289,1.0310934620324508,,1.6219139238430458,,,0.011211,BRAGX,ff3,RH ORD
32,0.0012371063570691388,1.3277451872571229,-1.4361057170693556,1.2715910974550324,1.200791529061104,1.708721274793727,,,0.011211,BRAGX,ff5,RH ORD
32,0.0014638579555483284,,-1.3779965696282708,1.0341207752342045,,1.4448969539506356,,-0.6225800723910917,0.011211,BRAGX,carhart,RH ORD
32,0.0013972630698358371,,,1.2853034433696673,,,,,0.011211,BRAGX,capm,RH ORD
33,0.0001793887303855094,0.7960369495376918,0.17139248212786168,1.512898013835672,-1.2827779474998955,1.4305971333444116,0.42194560947287785,-0.5470297673996105,0.01102,BRAGX,full,NOW INC ORD
33,0.00012567767167053306,,0.8267901233811294,1.5801047890952877,,1.761946029464865,,,0.01102,BRAGX,ff3,NOW INC ORD
33,0.00018825702669597925,0.8194475863880875,0.5079512796643533,1.5894414622818602,-1.2159191868521952,1.6378675689531232,,,0.01102,BRAGX,ff5,NOW INC ORD
